,cluster,Sentences Count
0,0,48
1,1,13
2,2,14
3,3,76
4,4,155
5,5,105
6,6,42
7,7,51
8,8,137
9,9,66
10,10,28
11,11,11
12,12,36
13,13,43
14,14,74
