,cluster,Sentences Count
0,0,3051
1,1,436
2,2,191
3,3,271
4,4,231
5,5,415
6,6,186
7,7,583
8,8,323
9,9,148
10,10,286
11,11,331
12,12,189
13,13,188
14,14,488
15,15,588
16,16,308
17,17,602
18,18,390
19,19,163
