,cluster,Sentences Count
0,0,1110
1,1,519
2,2,1258
3,3,483
4,4,287
5,5,163
6,6,831
7,7,625
8,8,701
9,9,785
10,10,831
11,11,1050
12,12,624
13,13,1304
14,14,2180
15,15,649
16,16,1607
17,17,2047
18,18,829
19,19,560
20,20,990
21,21,625
22,22,145
23,23,482
24,24,568
