,cluster,Sentences Count
0,0,43
1,1,44
2,2,99
3,3,179
4,4,21
5,5,34
6,6,41
7,7,101
8,8,108
9,9,86
10,10,71
11,11,124
12,12,69
13,13,57
14,14,66
15,15,54
16,16,83
17,17,76
18,18,65
19,19,47
