,cluster,Sentences Count
0,0,3
1,1,48
2,2,68
3,3,21
4,4,37
5,5,39
6,6,42
7,7,15
8,8,85
9,9,18
10,10,26
11,11,51
12,12,91
13,13,24
14,14,29
15,15,45
16,16,65
17,17,87
18,18,49
19,19,56
