,cluster,Sentences Count
0,0,1
1,1,4
2,2,6
3,3,11
4,4,67
5,5,5
6,6,44
7,7,63
8,8,10
9,9,35
10,10,10
11,11,11
12,12,4
13,13,20
14,14,22
15,15,2
16,16,17
17,17,15
18,18,41
19,19,18
20,20,37
21,21,6
22,22,10
23,23,18
24,24,41
25,25,19
26,26,2
27,27,15
28,28,1
29,29,23
30,30,1
31,31,2
32,32,4
33,33,27
34,34,6
35,35,44
36,36,11
37,37,30
38,38,7
39,39,33
40,40,28
41,41,3
42,42,26
43,43,19
44,44,41
45,45,16
46,46,1
47,47,1
48,48,1
49,49,20
