,cluster,Sentences Count
0,0,2446
1,1,2262
2,2,1807
3,3,1621
4,4,3438
5,5,1099
6,6,4207
7,7,334
8,8,498
9,9,2889
10,10,3099
11,11,1060
12,12,2592
13,13,3174
14,14,1801
15,15,1656
16,16,1295
17,17,787
18,18,877
19,19,1773
