,cluster,Sentences Count
0,0,11
1,1,10
2,2,17
3,3,4
4,4,11
5,5,5
6,6,7
7,7,13
8,8,1
9,9,2
10,10,1
11,11,7
12,12,8
13,13,3
14,14,13
