,cluster,Sentences Count
0,0,1
1,1,137
2,2,83
3,3,77
4,4,45
5,5,70
6,6,37
7,7,101
8,8,127
9,9,49
10,10,1
11,11,56
12,12,132
13,13,202
14,14,70
15,15,69
16,16,96
17,17,76
