,cluster,Sentences Count
0,0,4021
1,1,4506
2,2,1235
3,3,655
4,4,966
5,5,854
6,6,2120
7,7,2780
8,8,4464
9,9,2990
10,10,1968
11,11,328
12,12,2967
13,13,766
14,14,1510
15,15,1593
16,16,2147
17,17,2585
18,18,260
