,cluster,Sentences Count
0,0,2053
1,1,1094
2,2,778
3,3,2319
4,4,165
5,5,1121
6,6,1688
7,7,1179
8,8,812
9,9,1167
10,10,1704
11,11,1745
12,12,912
13,13,2383
14,14,2133
